Raw Tweets,Preprocessed Tweets
@AnjaliKataria19 @News18Kerala @Argentina @TheKeralaPolice what would be your thoughts on the matter,anjalikataria19 news18kerala argentina thekeralapolic would thought matter
@NetturaanS @TheKeralaPolice സങ്കിയാണേ കേസെടുക്കുന്ന പോലാണല്ലോ തള്ളി മറിക്കുന്നേ,netturaan thekeralapolic
@bilal_jhob @TheKeralaPolice Athe,bilaljhob thekeralapolic ath
"Radhakrishnan Pillai Ragam issue based on Sharadha Mutt Kollam District Kerala State @pinarayivijayan
@TheKeralaPolice @manoramanews @AsianetNewsML @mathrubhuminews @IMPCA3 @mediaacademic2 @SivagiriTv @TheKairaliTV @kairalionline https://t.co/YTl48NQFEI",radhakrishnan pillai ragam issu base sharadha mutt kollam district kerala state pinarayivijayan thekeralapolic manoramanew asianetnewsml mathrubhuminew impca3 mediaacademic2 sivagiritv thekairalitv kairalionlin httpstcoytl48nqfei
"നടപടി സ്വീകരിക്കണം സർ,
Reminder (20/06/2022)
@saseendran_ak @AdvMAnilkumar1   @riyasdyfi @MohamedRiyasPA @CMOKerala @TheKeralaPolice @cochin_port @KeralaGovernor @KeralaTourism https://t.co/ZetwXM8vOj",remind 20062022 saseendranak advmanilkumar1 riyasdyfi mohamedriyaspa cmokerala thekeralapolic cochinport keralagovernor keralatour httpstcozetwxm8voj
"ഇതു ഉത്തരേന്ത്യയിൽ അല്ല, @pinarayivijayan ന്റെ സ്വന്തം കണ്ണൂരിൽ......
@TheKeralaPolice ഒന്നും അറിഞ്ഞില്ല https://t.co/JL5oun7Pr3",pinarayivijayan thekeralapolic httpstcojl5oun7pr3
@TheKeralaPolice വല്ല കമ്മികളുടെ പണിയാകും... അപ്പൊ പിന്നെ case എടുക്കാനും പറ്റില്ല 🤣,thekeralapolic case
"@Suma357381 @TheKeralaPolice അടിപൊളി 😂
പോലീസ് ഇപ്പൊ തന്നെ ശുഷ്‌കാന്തിയോടെ എല്ലാ ഫ്ളക്സ്ലും എടുത്തു മറ്റും.

കോർപറേഷൻ ആണ് അനുവാദം കൊടുക്കുന്നത്.",suma357381 thekeralapolic
"@TheKeralaPolice Good👀👍🏻
But this word also tell after the election🤗",thekeralapolic good word also tell elect
@midhunsview @TheKeralaPolice സെക്യൂരിറ്റി ലാപ്സ് തന്നെ ആണ് അവരുട ഭാഗത്തു നിന്ന്,midhunsview thekeralapolic
